date,client,library,frequency
2017-04-15,desktop,Handlebars,5556
2017-04-15,desktop,Head JS,1926
2017-04-15,desktop,Highcharts,2116
2017-04-15,desktop,IfVisible.js,111
2017-04-15,desktop,InfoVis,10
2017-04-15,desktop,Ink,21
2017-04-15,desktop,Isotope,14530
2017-04-15,desktop,Kendo UI,482
2017-04-15,desktop,Knockout,2385
2017-04-15,desktop,LABjs,1445
2017-04-15,desktop,Leaflet,1322
2017-04-15,desktop,Lo-Dash,9452
2017-04-15,desktop,Mapbox,221
2017-04-15,desktop,Marionette,567
2017-04-15,desktop,Material Design Lite,360
2017-04-15,desktop,Matter.js,4
2017-04-15,desktop,MochiKit,1
2017-04-15,desktop,Modernizr,76339
2017-04-15,desktop,Moment Timezone,1984
2017-04-15,desktop,Moment.js,14834
2017-04-15,desktop,MooTools,9000
2017-04-15,desktop,Mustache,4067
2017-04-15,desktop,Paper.js,27
2017-04-15,desktop,Pixi.js,145
2017-04-15,desktop,Polymer,119
2017-04-15,desktop,Popcorn.js,28
2017-04-15,desktop,Prototype,9220
2017-04-15,desktop,Pusher,789
2017-04-15,desktop,Qooxdoo,13
2017-04-15,desktop,React,1864
2017-04-15,desktop,RequireJS,7489
2017-04-15,desktop,Rico,7
2017-04-15,desktop,RightJS,4
2017-04-15,desktop,Riot,110
2017-04-15,desktop,SPF,30
2017-04-15,desktop,SWFObject,23054
2017-04-15,desktop,Sammy,2
2017-04-15,desktop,Scriptaculous,1817
2017-04-15,desktop,ScrollMagic,1155
2017-04-15,desktop,Sea.js,470
2017-04-15,desktop,Socket.IO,1774
2017-04-15,desktop,Spine,37
2017-04-15,desktop,SproutCore,66
2017-04-15,desktop,Spry,27
2017-04-15,desktop,Swiffy,227
2017-04-15,desktop,Tween.js,235
2017-04-15,desktop,Two,3
2017-04-15,desktop,Underscore,19283
2017-04-15,desktop,Vaadin,5
2017-04-15,desktop,Velocity.js,1110
2017-04-15,desktop,Visibility.js,154
2017-04-15,desktop,Vue,771
2017-04-15,desktop,WebFont Loader,10951
2017-04-15,desktop,YUI 2,7914
2017-04-15,desktop,YUI 3,2550
2017-04-15,desktop,Zepto.js,1121
2017-04-15,desktop,Zurb,7441
2017-04-15,desktop,base2,105
2017-04-15,desktop,gRapha&euml;l,3
2017-04-15,desktop,jQuery,394296
2017-04-15,desktop,jQuery Mobile,8910
2017-04-15,desktop,jQuery Tools,13082
2017-04-15,desktop,jQuery UI,104193
2017-04-15,desktop,three.js,293
2017-04-15,desktop,yepnope,54589
2017-04-15,mobile,,1
2017-04-15,mobile,AmplifyJS,297
2017-04-15,mobile,Angular,142
2017-04-15,mobile,AngularJS,9647
2017-04-15,mobile,Backbone,8481
2017-04-15,mobile,Blackbird,248
2017-04-15,mobile,Bootstrap,61231
2017-04-15,mobile,CamanJS,22
2017-04-15,mobile,Can,131
2017-04-15,mobile,Closure Library,201
2017-04-15,mobile,ControlJS,16
2017-04-15,mobile,CreateJS,2731
2017-04-15,mobile,D3,1179
2017-04-15,mobile,DC.js,4
2017-04-15,mobile,Dojo,1195
2017-04-15,mobile,Ember.js,284
2017-04-15,mobile,Ext JS,509
2017-04-15,mobile,Fabric.js,101
2017-04-15,mobile,FastClick,10610
2017-04-15,mobile,FlexSlider,38731
2017-04-15,mobile,FlotCharts,849
2017-04-15,mobile,FuseJS,8
2017-04-15,mobile,GWT,808
2017-04-15,mobile,Glow,15
2017-04-15,mobile,Google Maps,15857
2017-04-15,mobile,Greensock JS,10325
2017-04-15,mobile,Hammer.js,6687
2017-04-15,mobile,Handlebars,5261
2017-04-15,mobile,Head JS,1754
2017-04-15,mobile,Highcharts,1826
2017-04-15,mobile,IfVisible.js,106
2017-04-15,mobile,InfoVis,8
2017-04-15,mobile,Ink,19
2017-04-15,mobile,Isotope,14081
2017-04-15,mobile,Kendo UI,476
2017-04-15,mobile,Knockout,2272
2017-04-15,mobile,LABjs,1244
2017-04-15,mobile,Leaflet,1143
2017-04-15,mobile,Lo-Dash,9373
2017-04-15,mobile,Mapbox,205
2017-04-15,mobile,Marionette,551
2017-04-15,mobile,Material Design Lite,378
2017-04-15,mobile,Matter.js,4
2017-04-15,mobile,MochiKit,1
2017-04-15,mobile,Modernizr,74399
2017-04-15,mobile,Moment Timezone,1912
2017-04-15,mobile,Moment.js,14195
2017-04-15,mobile,MooTools,8477
2017-04-15,mobile,Mustache,3901
2017-04-15,mobile,Paper.js,27
2017-04-15,mobile,Pixi.js,134
2017-04-15,mobile,Polymer,126
2017-04-15,mobile,Popcorn.js,27
2017-04-15,mobile,Prototype,8655
2017-04-15,mobile,Pusher,727
2017-04-15,mobile,Qooxdoo,11
2017-04-15,mobile,React,1828
2017-04-15,mobile,RequireJS,7403
2017-04-15,mobile,Rico,5
2017-04-15,mobile,RightJS,5
2017-04-15,mobile,Riot,99
2017-04-15,mobile,SPF,18
2017-04-15,mobile,SWFObject,18094
